EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate,JoiningAge
1,5,1,2,9,KGID100001,Byrappa Kulkarni,1972-03-30,1,5,0,1993-06-04,21
2,5,1,2,9,KGID100002,Mahadevappa Angadi,1969-09-29,1,2,0,1990-07-08,20
3,5,1,1,10,KGID100003,Mahesh Urs,1969-08-11,1,7,0,1993-01-26,23
4,5,1,2,9,KGID100004,Gopal Reddy,1972-02-08,1,8,0,1996-06-16,24
5,5,1,9,10,KGID100005,Manjunath Setty,1989-01-25,1,7,0,2013-04-27,24
6,5,1,9,11,KGID100006,Manjula Hiremath,1992-03-08,2,3,0,2016-01-22,23
7,5,1,2,9,KGID100007,Gopal Biradar,1972-11-02,1,3,0,1998-03-01,25
8,5,1,9,11,KGID100008,Vinay Iyer,1985-07-02,1,1,0,2006-07-13,21
9,5,1,10,10,KGID100009,Ganesh Nayak,1994-01-07,1,3,0,2019-08-23,25
10,5,1,9,10,KGID100010,Girish Swamy,1991-10-04,1,3,0,2015-04-01,23
11,5,2,4,9,KGID100011,Rajesh Chavan,1971-10-02,1,4,0,1992-04-11,20
12,5,2,13,11,KGID100012,Geetha Aithal,2003-08-11,2,3,0,2025-06-29,21
13,5,2,13,10,KGID100013,Gowramma Swamy,2000-11-12,2,6,0,2022-07-24,21
14,5,2,13,11,KGID100014,Suresh Reddy,1997-07-27,1,7,0,2022-01-02,24
15,5,2,13,10,KGID100015,Basavaraj Math,2002-06-27,1,7,0,2024-04-07,21
16,5,2,10,10,KGID100016,Ganesh Nayaka,1998-08-24,1,7,0,2022-05-26,23
17,22,3,10,11,KGID100017,Halappa Hiremath,1990-04-18,1,3,0,2015-09-18,25
18,22,3,3,9,KGID100018,Prasanna Setty,1976-02-10,1,5,1,1996-12-02,20
19,22,3,13,10,KGID100019,Siddaraju Naidu,2002-06-22,1,3,0,2022-12-03,20
20,22,3,10,11,KGID100020,Harish Devadiga,1991-10-07,1,1,0,2015-02-02,23
21,22,3,4,9,KGID100021,Channabasappa Patil,1971-07-07,1,1,0,1997-05-30,25
22,22,3,13,11,KGID100022,Nagaveni Mudakavi,2002-04-19,2,1,0,2024-01-13,21
23,3,4,9,10,KGID100023,Basavaraj Naidu,1984-10-22,1,1,0,2004-11-11,20
24,3,4,4,9,KGID100024,Jyothi Yadav,1978-05-09,2,7,0,2001-05-04,22
25,3,4,4,9,KGID100025,Venkatesh Rao,1971-05-16,1,5,0,1992-10-08,21
26,3,4,13,10,KGID100026,Prakash Swamy,2004-09-29,1,1,0,2025-06-08,20
27,3,4,10,10,KGID100027,Lokesh Shetty,1988-03-31,1,7,0,2011-05-26,23
28,3,4,10,11,KGID100028,Raghavendra Yadav,1996-03-16,1,3,0,2018-02-16,21
29,17,5,9,10,KGID100029,Nagaraj Urs,1986-06-23,1,3,0,2007-02-07,20
30,17,5,4,9,KGID100030,Roopa Kamath,1975-01-25,2,7,0,1997-04-09,22
31,17,5,13,10,KGID100031,Ganesh Reddy,1997-02-24,1,7,0,2022-04-12,25
32,17,5,4,9,KGID100032,Devendra Yadav,1975-02-08,1,3,0,1997-01-19,21
33,17,5,13,11,KGID100033,Girish Yadav,1999-03-08,1,1,0,2019-03-04,19
34,17,5,13,10,KGID100034,Umesh Shetty,2005-05-29,1,7,0,2026-05-12,20
35,17,5,4,9,KGID100035,Naveen Urs,1978-02-25,1,7,0,2000-03-11,22
36,5,6,12,11,KGID100036,Manjula Poojary,1997-09-13,2,7,0,2022-11-25,25
37,5,6,9,2,KGID100037,Yogesh Achar,1991-08-21,1,7,0,2017-12-19,26
38,5,6,4,2,KGID100038,Gowramma Setty,1975-04-22,2,2,0,2001-12-06,26
39,5,6,9,2,KGID100039,Naveen Swamy,1985-06-25,1,3,0,2011-11-08,26
40,5,6,12,2,KGID100040,Manjunath Patil,2004-05-27,1,5,0,2025-08-21,21
41,5,6,9,2,KGID100041,Srinivas Yadav,1990-05-31,1,1,0,2014-03-16,23
42,5,6,12,11,KGID100042,Kalavathi Mudakavi,1995-08-11,2,1,0,2021-07-13,25
43,5,6,9,2,KGID100043,Siddaraju Kamath,1988-05-27,1,7,0,2013-10-21,25
44,5,6,8,4,KGID100044,Krishna Murthy Kamath,1987-12-27,1,3,0,2013-07-02,25
45,5,6,8,8,KGID100045,Gopal Sindhe,1984-10-07,1,3,0,2009-09-01,24
46,5,6,10,10,KGID100046,Santosh Swamy,1989-05-04,1,7,0,2014-06-10,25
47,5,6,5,5,KGID100047,Srinivas Bhat,1977-08-22,1,1,0,1999-12-10,22
48,5,6,10,10,KGID100048,Devendra Devadiga,1989-06-22,1,7,0,2013-01-14,23
49,5,6,9,2,KGID100049,Puneeth Setty,1987-08-12,1,1,0,2007-09-30,20
50,22,7,10,10,KGID100050,Gopal Nayaka,1998-05-26,1,8,0,2021-07-27,23
51,22,7,10,10,KGID100051,Ashok Achar,1989-11-13,1,7,0,2013-08-14,23
52,22,7,8,8,KGID100052,Devendra Naidu,1981-03-12,1,3,0,2007-11-27,26
53,22,7,8,7,KGID100053,Mahesh Setty,1986-02-17,1,3,0,2010-03-24,24
